setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,depth,seed,n_params
d=1 s=0,Random 30% #11,1028,0.0036992125742528,0.0190415586997696,0.0157791330775625,-0.0153423461255167,-0.0120799205033096,False,False,False,,1,0,257
d=1 s=0,Random 30% #12,1028,-0.0176439165409753,0.0193241288681439,0.0019039653433089,-0.0369680454091193,-0.0195478818842843,False,False,False,,1,0,257
d=1 s=0,Random 30% #13,1028,0.0061871080085679,0.025913460648371,0.0147974108748696,-0.019726352639803,-0.0086103028663016,False,False,False,,1,0,257
d=1 s=0,Random 30% #14,1028,-0.0024039572835282,0.0114081748346951,0.0198356230235592,-0.0138121321182234,-0.0222395803070875,False,False,False,,1,0,257
d=1 s=0,Random 30% #15,1028,-0.0014797507788162,0.0110605033761991,0.0148072577011304,-0.0125402541550153,-0.0162870084799466,False,False,False,,1,0,257
d=1 s=0,Random 30% #16,1028,0.006823838043474,0.0025417883058055,0.0165523738455685,0.0042820497376685,-0.0097285358020944,False,True,True,,1,0,257
d=1 s=0,Random 30% #17,1028,0.0030261642698374,0.0135354493439406,0.0140166509565357,-0.0105092850741031,-0.0109904866866982,False,False,False,,1,0,257
d=1 s=0,Random 30% #18,1028,0.008237689744539,0.0303820827779124,0.0093611813437355,-0.0221443930333734,-0.0011234915991964,False,False,False,,1,0,257
d=1 s=0,Random 30% #19,1028,0.0066883064376393,0.0135349964596087,0.027703247828258,-0.0068466900219694,-0.0210149413906187,False,False,False,,1,0,257
d=1 s=0,Random 30% #20,1028,-0.0099963316214233,0.0228996657665441,0.0334910177213682,-0.0328959973879674,-0.0434873493427916,False,False,False,,1,0,257
d=1 s=0,Random 30% #21,1028,0.002277451699682,0.0156408224762248,0.0024688950188658,-0.0133633707765428,-0.0001914433191837,False,False,False,,1,0,257
d=1 s=0,Random 30% #22,1028,0.0271739130434782,0.0095958462752657,0.0132232385968323,0.0175780667682124,0.0139506744466459,False,False,False,,1,0,257
d=1 s=0,Random 30% #23,1028,0.0053719593676173,0.0215830594813949,0.0255607789584232,-0.0162111001137775,-0.0201888195908058,False,False,False,,1,0,257
d=1 s=0,Random 30% #24,1028,0.0374355138753044,0.027657849110764,0.0045410455800903,0.0097776647645403,0.032894468295214,False,False,False,,1,0,257
d=1 s=0,Random 30% #25,1028,0.0207335170659317,0.0062082326716778,0.0247335821813996,0.0145252843942538,-0.0040000651154679,False,True,True,,1,0,257
d=1 s=0,Random 30% #26,1028,0.000322640117994,0.0231234718996915,0.0056635294481541,-0.0228008317816974,-0.00534088933016,False,False,False,,1,0,257
d=1 s=0,Random 30% #27,1028,-0.0133699862551543,0.0129344386180317,0.034113387155097,-0.0263044248731861,-0.0474833734102513,False,False,False,,1,0,257
d=1 s=0,Random 30% #28,1028,0.0048546691403834,0.0126423129833263,0.0076776493826958,-0.0077876438429429,-0.0028229802423124,False,False,False,,1,0,257
d=1 s=0,Random 30% #29,1028,0.0132264436461088,0.0147573089271241,0.0200165273206883,-0.0015308652810152,-0.0067900836745794,False,False,False,,1,0,257
d=1 s=0,Random 30% #30,1028,0.0073191060456281,0.0198218022108027,0.0104555916897483,-0.0125026961651746,-0.0031364856441202,False,False,False,,1,0,257
d=1 s=0,Random 30% #31,1028,0.0186572318838355,0.031785018433828,0.0266265551442201,-0.0131277865499925,-0.0079693232603846,False,False,False,,1,0,257
d=1 s=0,Random 30% #32,1028,0.0146773132638857,0.0312798091746616,0.0144895432990257,-0.0166024959107759,0.0001877699648599,False,True,True,,1,0,257
d=1 s=0,Random 30% #33,1028,0.0107989019115876,0.0115415785924364,0.0192497966058085,-0.0007426766808488,-0.0084508946942209,False,False,False,,1,0,257
d=1 s=0,Random 30% #34,1028,0.0036708111308466,0.0122715090763725,0.0253345821422274,-0.0086006979455259,-0.0216637710113807,False,False,False,,1,0,257
d=1 s=0,Random 30% #35,1028,-0.0021279853031231,0.0213892478617907,0.0189149285262482,-0.0235172331649139,-0.0210429138293713,False,False,False,,1,0,257
