setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,arch,n_params
4,All Patients,3429,0.0078818040435458,0.00745474970768,0.0166689544878169,0.0004270543358658,-0.008787150444271,False,True,True,,4,33
4,ICUType 1.0,490,0.0294939989088925,0.016166168727148,0.0550853279167872,0.0133278301817444,-0.0255913290078947,False,True,True,,4,33
4,ICUType 2.0,643,-0.000975689080413,-0.0251311842488781,0.0132020794660594,0.024155495168465,-0.0141777685464724,True,True,True,,4,33
4,ICUType 3.0,1357,-0.0217764843549488,-0.0008412911403159,0.0237075001795267,-0.0209351932146329,-0.0454839845344756,True,False,True,,4,33
4,ICUType 4.0,939,0.0202084035501629,0.0147815647046259,0.0354081325650231,0.0054268388455369,-0.0151997290148602,False,True,True,,4,33
4,Age decile 0,374,0.046026807780653,-0.0008557641451804,0.0228787085895721,0.0468825719258334,0.0231480991910809,True,False,True,,4,33
4,Age decile 1,344,0.0273634472301562,0.0194943241439378,0.0383109472684583,0.0078691230862184,-0.0109475000383021,False,True,True,,4,33
4,Age decile 2,347,0.0042864169770219,-0.0274912793897711,0.0293840350791771,0.0317776963667931,-0.0250976181021551,True,True,True,,4,33
4,Age decile 3,325,0.0096292729898892,-0.0102019197725519,0.0680739269942243,0.0198311927624412,-0.0584446540043351,True,True,True,,4,33
4,Age decile 4,372,-0.0152359717577108,-0.0274747241998168,0.0278261737026155,0.0122387524421059,-0.0430621454603264,True,True,True,,4,33
4,Age decile 5,344,-0.0250497851378262,-0.0408672751524773,0.006882734257791,0.0158174900146511,-0.0319325193956173,True,True,True,,4,33
4,Age decile 6,397,-0.0004719207173194,-0.0173169300083524,0.026609267147016,0.0168450092910329,-0.0270811878643355,True,True,True,,4,33
4,Age decile 7,247,0.0173747705218987,-0.0305680554284292,0.0615926714528551,0.047942825950328,-0.0442179009309563,True,True,True,,4,33
4,Age decile 8,354,-0.0216450216450216,-0.0358062962304849,0.0110213837336263,0.0141612745854632,-0.0326664053786479,True,True,True,,4,33
4,Age decile 9,325,-0.0771864301276066,-0.0465276122849965,-0.0048930751988053,-0.03065881784261,-0.0722933549288012,False,False,False,,4,33
4,HR quartile 0,877,0.0371049136786188,0.0175993065556152,0.0260536006141793,0.0195056071230036,0.0110513130644394,False,False,False,,4,33
4,HR quartile 1,917,-0.0169849537037037,-0.0116189757958229,0.0189364331886121,-0.0053659779078807,-0.0359213868923158,True,False,True,,4,33
4,HR quartile 2,816,0.034861311019492,-0.008373447146853,0.0299952510894404,0.0432347581663451,0.0048660599300516,True,False,True,,4,33
4,HR quartile 3,819,-0.0232600311906863,-0.0147672809754678,0.0355522991465721,-0.0084927502152185,-0.0588123303372584,True,False,True,,4,33
