setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,width,seed,n_params
w=8 s=1,MAP quartile 2,866,0.0104058609958506,0.0094711623151486,0.0098671724628658,0.0009346986807019,0.0005386885329848,False,False,False,,8,1,209
w=8 s=1,MAP quartile 3,846,0.0090927756430939,0.0325557878146443,0.0233408495193318,-0.0234630121715504,-0.0142480738762379,False,False,False,,8,1,209
w=8 s=1,Temp quartile 0,902,0.0068727157158747,0.0156771073673964,0.016109643747152,-0.0088043916515216,-0.0092369280312772,False,False,False,,8,1,209
w=8 s=1,Temp quartile 1,864,0.0305627470437901,0.0367436479587204,0.0246847064345705,-0.0061809009149302,0.0058780406092195,False,True,True,,8,1,209
w=8 s=1,Temp quartile 2,838,-0.0036346905912123,0.0087219953035533,0.0455616094450183,-0.0123566858947656,-0.0491963000362306,False,False,False,,8,1,209
w=8 s=1,Temp quartile 3,825,-0.0023612750885478,0.0049658701481567,0.0132007608181406,-0.0073271452367045,-0.0155620359066884,False,False,False,,8,1,209
w=8 s=1,Urine quartile 0,859,-0.0313289760348584,-0.0102595345711965,0.0292630541799217,-0.0210694414636618,-0.0605920302147801,True,False,True,,8,1,209
w=8 s=1,Urine quartile 1,913,-0.0210526315789473,-0.0020865465691503,0.0085019191604883,-0.018966085009797,-0.0295545507394357,True,False,True,,8,1,209
w=8 s=1,Urine quartile 2,802,0.0149901230333403,0.0281972128076645,0.0100843853922227,-0.0132070897743242,0.0049057376411175,False,True,True,,8,1,209
w=8 s=1,Urine quartile 3,855,0.0601118199903958,0.0151754690936041,0.0011457308313165,0.0449363508967916,0.0589660891590792,False,False,False,,8,1,209
w=8 s=1,SAPS quartile 0,1025,0.0026756349262149,0.0042038864818655,0.0105543560253514,-0.0015282515556505,-0.0078787210991364,False,False,False,,8,1,209
w=8 s=1,SAPS quartile 1,946,0.0452124666297511,0.019942136321153,0.0184086079905604,0.0252703303085981,0.0268038586391907,False,False,False,,8,1,209
w=8 s=1,SAPS quartile 2,660,0.0015384615384615,0.0238383059034272,0.0121138566867385,-0.0222998443649656,-0.0105753951482769,False,False,False,,8,1,209
w=8 s=1,SAPS quartile 3,798,-0.0389986891196934,0.0205231282535579,0.0509794100656854,-0.0595218173732514,-0.0899780991853789,False,False,False,,8,1,209
w=8 s=1,HR > 100,945,-0.0351262896411669,0.0042048995665905,0.01516322866757,-0.0393311892077575,-0.0502895183087369,False,False,False,,8,1,209
