setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,max_depth
depth 2,Age decile 0,374,0.046026807780653,0.0410740705301508,-0.00901938618952,0.0049527372505021,0.055046193970173,True,False,True,,2
depth 2,Age decile 1,344,0.0273634472301562,0.0330498884657919,-0.0054880672035379,-0.0056864412356357,0.0328515144336941,True,True,True,,2
depth 2,Age decile 2,347,0.0042864169770219,-0.0090186676260376,0.0261081777657149,0.0133050846030596,-0.0218217607886929,True,True,True,,2
depth 2,Age decile 3,325,0.0096292729898892,0.0318888172368768,-0.0011844791186496,-0.0222595442469875,0.0108137521085389,True,True,True,,2
depth 2,Age decile 4,372,-0.0152359717577108,0.007664809151944,-0.0074070281913591,-0.0229007809096549,-0.0078289435663517,True,False,True,,2
depth 2,Age decile 5,344,-0.0250497851378262,0.0246894730929706,0.0204188675004238,-0.0497392582307968,-0.04546865263825,False,False,False,,2
depth 2,Age decile 6,397,-0.0004719207173194,0.022308420962472,-0.0074541968477642,-0.0227803416797915,0.0069822761304448,True,True,True,,2
depth 2,Age decile 7,247,0.0173747705218987,0.0412797967526195,0.0045800275270554,-0.0239050262307207,0.0127947429948433,False,True,True,,2
depth 2,Age decile 8,354,-0.0216450216450216,-0.0085081787925068,-0.0103576933038244,-0.0131368428525148,-0.0112873283411972,False,False,False,,2
depth 2,Age decile 9,325,-0.0771864301276066,0.0357689043180741,-0.0145150440673459,-0.1129553344456807,-0.0626713860602606,True,False,True,,2
depth 2,HR quartile 0,877,0.0371049136786188,0.040418389752757,0.0314405235529964,-0.0033134760741381,0.0056643901256223,False,True,True,,2
depth 2,HR quartile 1,917,-0.0169849537037037,0.0094744984967662,0.0102894909300461,-0.0264594522004699,-0.0272744446337498,False,False,False,,2
depth 2,HR quartile 2,816,0.034861311019492,0.0188891551553815,0.0116748489772059,0.0159721558641105,0.0231864620422861,False,False,False,,2
depth 2,HR quartile 3,819,-0.0232600311906863,0.018231545243066,0.0107556780863297,-0.0414915764337523,-0.034015709277016,False,False,False,,2
depth 2,MAP quartile 0,877,-0.0141240285818599,0.0105738996187167,0.0034471688150025,-0.0246979282005766,-0.0175711973968624,False,False,False,,2
depth 2,MAP quartile 1,840,0.02392179413456,0.0299143542786776,0.0286698935463726,-0.0059925601441175,-0.0047480994118125,False,False,False,,2
depth 2,MAP quartile 2,866,0.0104058609958506,0.0173688089567781,0.0033446546385298,-0.0069629479609275,0.0070612063573207,False,True,True,,2
depth 2,MAP quartile 3,846,0.0090927756430939,0.0342907631962963,0.0322023489104603,-0.0251979875532024,-0.0231095732673664,False,False,False,,2
depth 2,Temp quartile 0,902,0.0068727157158747,0.026521497460638,0.0155237564351187,-0.0196487817447632,-0.0086510407192439,False,False,False,,2
depth 2,Temp quartile 1,864,0.0305627470437901,0.0219899878367947,0.016371617613585,0.0085727592069954,0.014191129430205,False,False,False,,2
depth 2,Temp quartile 2,838,-0.0036346905912123,0.0122746534527347,0.0119045628768856,-0.0159093440439471,-0.015539253468098,False,False,False,,2
depth 2,Temp quartile 3,825,-0.0023612750885478,0.0056085682137613,0.0065320827732495,-0.0079698433023091,-0.0088933578617973,False,False,False,,2
depth 2,Urine quartile 0,859,-0.0313289760348584,0.0153394827194722,-0.0051617138103778,-0.0466684587543306,-0.0261672622244805,True,False,True,,2
depth 2,Urine quartile 1,913,-0.0210526315789473,-0.007205346528914,0.0080838669329307,-0.0138472850500333,-0.029136498511878,True,False,True,,2
depth 2,Urine quartile 2,802,0.0149901230333403,0.027237776761111,0.0226312696594248,-0.0122476537277706,-0.0076411466260845,False,False,False,,2
depth 2,Urine quartile 3,855,0.0601118199903958,0.0340434011730177,0.0105560386270757,0.026068418817378,0.04955578136332,False,False,False,,2
depth 2,SAPS quartile 0,1025,0.0026756349262149,0.0096205357867279,0.0035715335576409,-0.0069449008605129,-0.000895898631426,False,False,False,,2
depth 2,SAPS quartile 1,946,0.0452124666297511,0.0105692777555919,0.0140455815009429,0.0346431888741591,0.0311668851288082,False,False,False,,2
depth 2,SAPS quartile 2,660,0.0015384615384615,0.0094245775343957,0.009858956698758,-0.0078861159959342,-0.0083204951602965,False,False,False,,2
depth 2,SAPS quartile 3,798,-0.0389986891196934,0.0357305364984445,0.0256614255053592,-0.074729225618138,-0.0646601146250527,False,False,False,,2
depth 2,HR > 100,945,-0.0351262896411669,0.0133018750969994,0.009430302819422,-0.0484281647381664,-0.044556592460589,False,False,False,,2
depth 2,MAP < 65,697,-0.0279136809159047,0.0083336678052212,-0.0037598314821812,-0.036247348721126,-0.0241538494337235,True,False,True,,2
depth 2,Temp > 38C,267,-0.0430204913392958,0.0220142707015309,0.0057423081563121,-0.0650347620408267,-0.0487627994956079,False,False,False,,2
depth 2,Urine > 1000,210,0.0458952811893988,0.0488225704665124,-0.0139200151970209,-0.0029272892771136,0.0598152963864197,True,True,True,,2
depth 2,Random 50% #1,1714,0.0148182289884191,0.017035470707192,0.0173839300714069,-0.0022172417187728,-0.0025657010829877,False,False,False,,2
depth 2,Random 50% #2,1714,0.0038708396744524,0.0127666460576531,0.0105586317866183,-0.0088958063832006,-0.0066877921121659,False,False,False,,2
depth 2,Random 50% #3,1714,0.0221853388658367,0.0158975247304788,0.0161198580853594,0.0062878141353579,0.0060654807804773,False,False,False,,2
depth 2,Random 50% #4,1714,0.0209444740819774,0.0142611130910406,0.0128513598672609,0.0066833609909367,0.0080931142147164,False,False,False,,2
depth 2,Random 50% #5,1714,0.025145147627017,0.0162350036720217,0.0220983436787728,0.0089101439549953,0.0030468039482442,False,False,False,,2
depth 2,Random 50% #6,1714,-0.0032358828377694,0.0132765918945867,0.0170768997367505,-0.0165124747323562,-0.0203127825745199,False,False,False,,2
depth 2,Random 50% #7,1714,0.0203886964648963,0.01359365042926,0.0208262091518778,0.0067950460356362,-0.0004375126869815,False,True,True,,2
depth 2,Random 50% #8,1714,-0.0080211409064465,0.0209066994729439,0.02675989417704,-0.0289278403793905,-0.0347810350834865,False,False,False,,2
depth 2,Random 50% #9,1714,-0.0018808498325041,0.0169267147777697,0.0276068689064573,-0.0188075646102739,-0.0294877187389615,False,False,False,,2
depth 2,Random 50% #10,1714,0.0032849222618878,0.0095735306141078,0.0079861294704552,-0.00628860835222,-0.0047012072085673,False,False,False,,2
depth 2,Random 50% #11,1714,0.0064028840624585,0.0201123231162492,0.0236894034846048,-0.0137094390537907,-0.0172865194221462,False,False,False,,2
depth 2,Random 50% #12,1714,-0.0033234372422892,0.0197593822129148,0.0136034075473259,-0.0230828194552041,-0.0169268447896152,False,False,False,,2
depth 2,Random 50% #13,1714,0.0032517955657333,0.0149675868962389,0.0193933614931649,-0.0117157913305056,-0.0161415659274316,False,False,False,,2
depth 2,Random 50% #14,1714,0.0062157191184681,0.0122957336796189,0.0112503728071789,-0.0060800145611507,-0.0050346536887107,False,False,False,,2
