setting,subset,n,difference,explained_menref,explained_womenref,unexplained_menref,unexplained_womenref,explained_flip,unexplained_flip,any_flip,error,n_estimators
trees 10,Random 50% #38,1714,0.0021576191788371,0.0053969442363562,0.0067862842024423,-0.0032393250575191,-0.0046286650236052,False,False,False,,10
trees 10,Random 50% #39,1714,0.0170086158804934,0.0017751285814495,0.0055126261441046,0.0152334872990438,0.0114959897363887,False,False,False,,10
trees 10,Random 50% #40,1714,0.018520937100027,0.0058273380752098,0.006942500404901,0.0126935990248172,0.011578436695126,False,False,False,,10
trees 10,Random 50% #41,1714,0.0027199322354597,0.0060908745895987,0.0037067028126094,-0.0033709423541389,-0.0009867705771496,False,False,False,,10
trees 10,Random 50% #42,1714,0.0178900300253214,0.0074653915244833,0.0029173427842303,0.0104246385008381,0.014972687241091,False,False,False,,10
trees 10,Random 50% #43,1714,0.0169958506224066,0.0065396806321945,0.0041575195786863,0.010456169990212,0.0128383310437202,False,False,False,,10
trees 10,Random 50% #44,1714,-0.0080414937759336,0.005417720932869,0.0027775713081264,-0.0134592147088026,-0.01081906508406,False,False,False,,10
trees 10,Random 50% #45,1714,-0.0006684003732017,0.0068428751367915,0.0048376000729466,-0.0075112755099932,-0.0055060004461483,False,False,False,,10
trees 10,Random 50% #46,1714,-0.0127567411871579,0.0063393388188114,0.0078580963763113,-0.0190960800059693,-0.0206148375634693,False,False,False,,10
trees 10,Random 50% #47,1714,-0.0023071888899981,0.004208853179645,0.0069546292056017,-0.0065160420696431,-0.0092618180955998,False,False,False,,10
trees 10,Random 50% #48,1714,0.0007707867678387,0.0060211900169023,0.0059035655811106,-0.0052504032490636,-0.0051327788132718,False,False,False,,10
trees 10,Random 50% #49,1714,-0.0052585890287469,0.0050679425902079,0.0075897537350118,-0.0103265316189549,-0.0128483427637587,False,False,False,,10
trees 10,Random 50% #50,1714,-0.009935439192208,0.001052915588353,0.0027358795694867,-0.010988354780561,-0.0126713187616947,False,False,False,,10
trees 10,Random 30% #1,1028,0.0177032019704433,0.0047565607693541,0.0054631736456402,0.0129466412010891,0.012240028324803,False,False,False,,10
trees 10,Random 30% #2,1028,-0.0188812287552644,4.403170358822928e-05,0.0028879932554043,-0.0189252604588526,-0.0217692220106688,False,False,False,,10
trees 10,Random 30% #3,1028,-0.0136963318843895,0.0014407064527907,0.0001084033747832,-0.0151370383371802,-0.0138047352591727,False,False,False,,10
trees 10,Random 30% #4,1028,0.012612065619632,0.0024656339560048,0.0074357599313587,0.0101464316636272,0.0051763056882733,False,False,False,,10
trees 10,Random 30% #5,1028,0.012955140579904,0.0055315924168655,0.0016170609380191,0.0074235481630384,0.0113380796418849,False,False,False,,10
trees 10,Random 30% #6,1028,0.011061887501678,0.0066199332411648,0.0027734027062701,0.0044419542605132,0.0082884847954079,False,False,False,,10
trees 10,Random 30% #7,1028,-0.0019795447047178,0.0058868921894825,0.0034769904452241,-0.0078664368942004,-0.005456535149942,False,False,False,,10
trees 10,Random 30% #8,1028,-0.0013757582957458,0.0066493915174075,0.0069173632683033,-0.0080251498131534,-0.0082931215640491,False,False,False,,10
trees 10,Random 30% #9,1028,0.0167924069116573,0.0064256854679904,0.00560194730641,0.0103667214436669,0.0111904596052472,False,False,False,,10
trees 10,Random 30% #10,1028,0.0218614718614718,0.0043321055516222,-0.0002848922875729,0.0175293663098495,0.0221463641490448,True,False,True,,10
trees 10,Random 30% #11,1028,0.0036992125742528,0.0062076395874448,0.0001857974230222,-0.002508427013192,0.0035134151512305,False,True,True,,10
trees 10,Random 30% #12,1028,-0.0176439165409753,0.0057756880409697,0.003156068310017,-0.023419604581945,-0.0207999848509923,False,False,False,,10
trees 10,Random 30% #13,1028,0.0061871080085679,0.0046023368072974,0.0060488579250348,0.0015847712012705,0.0001382500835331,False,False,False,,10
trees 10,Random 30% #14,1028,-0.0024039572835282,0.005029279168272,0.0032800144775251,-0.0074332364518003,-0.0056839717610534,False,False,False,,10
trees 10,Random 30% #15,1028,-0.0014797507788162,0.0086716384127318,0.0042074875041517,-0.010151389191548,-0.0056872382829679,False,False,False,,10
trees 10,Random 30% #16,1028,0.006823838043474,0.0049095743325025,0.0012496499457932,0.0019142637109715,0.0055741880976808,False,False,False,,10
trees 10,Random 30% #17,1028,0.0030261642698374,0.004605875210883,0.002718115279656,-0.0015797109410455,0.0003080489901813,False,True,True,,10
trees 10,Random 30% #18,1028,0.008237689744539,0.0033761825242177,0.0042884362518776,0.0048615072203213,0.0039492534926614,False,False,False,,10
trees 10,Random 30% #19,1028,0.0066883064376393,0.0021561293915184,0.0072520951383298,0.0045321770461208,-0.0005637887006904,False,True,True,,10
trees 10,Random 30% #20,1028,-0.0099963316214233,0.004220887912015,0.0057613475792115,-0.0142172195334383,-0.0157576792006348,False,False,False,,10
trees 10,Random 30% #21,1028,0.002277451699682,0.0056502490590708,-0.0010947960004798,-0.0033727973593887,0.0033722477001619,True,True,True,,10
trees 10,Random 30% #22,1028,0.0271739130434782,0.0066030215276935,0.0021335791634476,0.0205708915157847,0.0250403338800306,False,False,False,,10
trees 10,Random 30% #23,1028,0.0053719593676173,0.0070481387314957,0.0017832924108186,-0.0016761793638784,0.0035886669567986,False,True,True,,10
trees 10,Random 30% #24,1028,0.0374355138753044,0.0057825600810231,0.0030200027924875,0.0316529537942813,0.0344155110828169,False,False,False,,10
trees 10,Random 30% #25,1028,0.0207335170659317,0.0067990944940231,0.0065987358861286,0.0139344225719085,0.0141347811798031,False,False,False,,10
trees 10,Random 30% #26,1028,0.000322640117994,0.0039221291222418,0.0002644754133041,-0.0035994890042477,5.816470468994472e-05,False,True,True,,10
trees 10,Random 30% #27,1028,-0.0133699862551543,0.0069008644886233,0.0033159559854673,-0.0202708507437777,-0.0166859422406216,False,False,False,,10
